dex;pokemon;type1;type2;sol;index
41;ZUBAT;POISON;FLYING;NUAGES;6
42;GOLBAT;POISON;FLYING;NUAGES;6
43;ODDISH;GRASS;POISON;PLANTE;0
44;GLOOM;GRASS;POISON;PLANTE;0
45;VILEPLUME;GRASS;POISON;PLANTE;0
46;PARAS;BUG;GRASS;PLANTE;0
47;PARASECT;BUG;GRASS;PLANTE;0
48;VENONAT;BUG;POISON;PLANTE;0
49;VENOMOTH;BUG;POISON;PLANTE;0
50;DIGLETT;GROUND;NONE;ROCHE;4
51;DUGTRIO;GROUND;NONE;ROCHE;4
52;MEOWTH;NORMAL;NONE;NORMAL;3
53;PERSIAN;NORMAL;NONE;NORMAL;3
54;PSYDUCK;WATER;NONE;EAU;1
55;GOLDUCK;WATER;NONE;EAU;1
56;MANKEY;FIGHTING;NONE;NORMAL;3
57;PRIMEAPE;FIGHTING;NONE;NORMAL;3
58;GROWLITHE;FIRE;NONE;FEU;2
59;ARCANINE;FIRE;NONE;FEU;2
60;POLIWAG;WATER;NONE;EAU;1
61;POLIWHIRL;WATER;NONE;EAU;1
62;POLIWRATH;WATER;FIGHTING;EAU;1
63;ABRA;PSYCHIC;NONE;NORMAL;3
64;KADABRA;PSYCHIC;NONE;NORMAL;3
65;ALAKAZAM;PSYCHIC;NONE;NORMAL;3
66;MACHOP;FIGHTING;NONE;NORMAL;3
67;MACHOKE;FIGHTING;NONE;NORMAL;3
68;MACHAMP;FIGHTING;NONE;NORMAL;3
69;BELLSPROUT;GRASS;POISON;PLANTE;0
70;WEEPINBELL;GRASS;POISON;PLANTE;0
71;VICTREEBEL;GRASS;POISON;PLANTE;0
72;TENTACOOL;WATER;POISON;EAU;1
73;TENTACRUEL;WATER;POISON;EAU;1
74;GEODUDE;ROCK;GROUND;ROCHE;4
75;GRAVELER;ROCK;GROUND;ROCHE;4
76;GOLEM;ROCK;GROUND;ROCHE;4
77;PONYTA;FIRE;NONE;FEU;2
78;RAPIDASH;FIRE;NONE;FEU;2
79;SLOWPOKE;WATER;PSYCHIC;EAU;1
80;SLOWBRO;WATER;PSYCHIC;EAU;1
81;MAGNEMITE;ELECTRIC;STEEL;ROCHE;4
82;MAGNETON;ELECTRIC;STEEL;ROCHE;4
83;FARFETCHD;NORMAL;FLYING;NUAGES;6
84;DODUO;NORMAL;FLYING;NUAGES;6
85;DODRIO;NORMAL;FLYING;NUAGES;6
86;SEEL;WATER;NONE;EAU;1
87;DEWGONG;WATER;ICE;GLACE;5
88;GRIMER;POISON;NONE;NORMAL;3
89;MUK;POISON;NONE;NORMAL;3
90;SHELLDER;WATER;NONE;EAU;1
91;CLOYSTER;WATER;ICE;GLACE;5
92;GASTLY;GHOST;POISON;NORMAL;3
93;HAUNTER;GHOST;POISON;NORMAL;3
94;GENGAR;GHOST;POISON;NORMAL;3
95;ONIX;ROCK;GROUND;ROCHE;4
96;DROWZEE;PSYCHIC;NONE;NORMAL;3
97;HYPNO;PSYCHIC;NONE;NORMAL;3
98;KRABBY;WATER;NONE;EAU;1
99;KINGLER;WATER;NONE;EAU;1
100;VOLTORB;ELECTRIC;NONE;NORMAL;3
101;ELECTRODE;ELECTRIC;NONE;NORMAL;3
102;EXEGGCUTE;GRASS;PSYCHIC;PLANTE;0
103;EXEGGUTOR;GRASS;PSYCHIC;PLANTE;0
104;CUBONE;GROUND;NONE;ROCHE;4
105;MAROWAK;GROUND;NONE;ROCHE;4
106;HITMONLEE;FIGHTING;NONE;NORMAL;3
107;HITMONCHAN;FIGHTING;NONE;NORMAL;3
108;LICKITUNG;NORMAL;NONE;NORMAL;3
109;KOFFING;POISON;NONE;NORMAL;3
110;WEEZING;POISON;NONE;NORMAL;3
111;RHYHORN;GROUND;ROCK;ROCHE;4
112;RHYDON;GROUND;ROCK;ROCHE;4
113;CHANSEY;NORMAL;NONE;NORMAL;3
114;TANGELA;GRASS;NONE;PLANTE;0
115;KANGASKHAN;NORMAL;NONE;NORMAL;3
116;HORSEA;WATER;NONE;EAU;1
117;SEADRA;WATER;NONE;EAU;1
118;GOLDEEN;WATER;NONE;EAU;1
119;SEAKING;WATER;NONE;EAU;1
120;STARYU;WATER;NONE;EAU;1
121;STARMIE;WATER;PSYCHIC;EAU;1
122;MR. MIME;PSYCHIC;FAIRY;NORMAL;3
123;SCYTHER;BUG;FLYING;PLANTE;0
124;JYNX;ICE;PSYCHIC;GLACE;5
125;ELECTABUZZ;ELECTRIC;NONE;NORMAL;3
126;MAGMAR;FIRE;NONE;FEU;2
127;PINSIR;BUG;NONE;PLANTE;0
128;TAUROS;NORMAL;NONE;NORMAL;3
129;MAGIKARP;WATER;NONE;EAU;1
130;GYARADOS;WATER;FLYING;EAU;1
131;LAPRAS;WATER;ICE;GLACE;5
132;DITTO;NORMAL;NONE;NORMAL;3
133;EEVEE;NORMAL;NONE;NORMAL;3
134;VAPOREON;WATER;NONE;EAU;1
135;JOLTEON;ELECTRIC;NONE;NORMAL;3
136;FLAREON;FIRE;NONE;FEU;2
137;PORYGON;NORMAL;NONE;NORMAL;3
138;OMANYTE;ROCK;WATER;EAU;1
139;OMASTAR;ROCK;WATER;EAU;1
140;KABUTO;ROCK;WATER;EAU;1
141;KABUTOPS;ROCK;WATER;EAU;1
142;AERODACTYL;ROCK;FLYING;ROCHE;4
143;SNORLAX;NORMAL;NONE;NORMAL;3
144;ARTICUNO;ICE;FLYING;GLACE;5
145;ZAPDOS;ELECTRIC;FLYING;NUAGES;6
146;MOLTRES;FIRE;FLYING;FEU;2
147;DRATINI;DRAGON;NONE;NORMAL;3
148;DRAGONAIR;DRAGON;NONE;NORMAL;3
149;DRAGONITE;DRAGON;FLYING;NUAGES;6
150;MEWTWO;PSYCHIC;NONE;NORMAL;3
151;MEW;PSYCHIC;NONE;NORMAL;3
152;CHIKORITA;GRASS;NONE;PLANTE;0
153;BAYLEEF;GRASS;NONE;PLANTE;0
154;MEGANIUM;GRASS;NONE;PLANTE;0
155;CYNDAQUIL;FIRE;NONE;FEU;2
156;QUILAVA;FIRE;NONE;FEU;2
157;TYPHLOSION;FIRE;NONE;FEU;2
158;TOTODILE;WATER;NONE;EAU;1
159;CROCONAW;WATER;NONE;EAU;1
160;FERALIGATR;WATER;NONE;EAU;1
161;SENTRET;NORMAL;NONE;NORMAL;3
162;FURRET;NORMAL;NONE;NORMAL;3
163;HOOTHOOT;NORMAL;FLYING;NUAGES;6
164;NOCTOWL;NORMAL;FLYING;NUAGES;6
165;LEDYBA;BUG;FLYING;PLANTE;0
166;LEDIAN;BUG;FLYING;PLANTE;0
167;SPINARAK;BUG;POISON;PLANTE;0
168;ARIADOS;BUG;POISON;PLANTE;0
169;CROBAT;POISON;FLYING;NUAGES;6
170;CHINCHOU;WATER;ELECTRIC;EAU;1
171;LANTURN;WATER;ELECTRIC;EAU;1
172;PICHU;ELECTRIC;NONE;NORMAL;3
173;CLEFFA;FAIRY;NONE;NORMAL;3
174;IGGLYBUFF;NORMAL;FAIRY;NORMAL;3
175;TOGEPI;FAIRY;NONE;NORMAL;3
176;TOGETIC;FAIRY;FLYING;NUAGES;6
177;NATU;PSYCHIC;FLYING;NUAGES;6
178;XATU;PSYCHIC;FLYING;NUAGES;6
179;MAREEP;ELECTRIC;NONE;NORMAL;3
180;FLAAFFY;ELECTRIC;NONE;NORMAL;3
181;AMPHAROS;ELECTRIC;NONE;NORMAL;3
182;BELLOSSOM;GRASS;NONE;PLANTE;0
183;MARILL;WATER;FAIRY;EAU;1
184;AZUMARILL;WATER;FAIRY;EAU;1
185;SUDOWOODO;ROCK;NONE;ROCHE;4
186;POLITOED;WATER;NONE;EAU;1
187;HOPPIP;GRASS;FLYING;PLANTE;0
188;SKIPLOOM;GRASS;FLYING;PLANTE;0
189;JUMPLUFF;GRASS;FLYING;PLANTE;0
190;AIPOM;NORMAL;NONE;NORMAL;3
191;SUNKERN;GRASS;NONE;PLANTE;0
192;SUNFLORA;GRASS;NONE;PLANTE;0
193;YANMA;BUG;FLYING;PLANTE;0
194;WOOPER;WATER;GROUND;EAU;1
195;QUAGSIRE;WATER;GROUND;EAU;1
196;ESPEON;PSYCHIC;NONE;NORMAL;3
197;UMBREON;DARK;NONE;NORMAL;3
198;MURKROW;DARK;FLYING;NUAGES;6
199;SLOWKING;WATER;PSYCHIC;EAU;1
200;MISDREAVUS;GHOST;NONE;NORMAL;3
201;UNOWN;PSYCHIC;NONE;NORMAL;3
202;WOBBUFFET;PSYCHIC;NONE;NORMAL;3
203;GIRAFARIG;NORMAL;PSYCHIC;NORMAL;3
204;PINECO;BUG;NONE;PLANTE;0
205;FORRETRESS;BUG;STEEL;ROCHE;4
206;DUNSPARCE;NORMAL;NONE;NORMAL;3
207;GLIGAR;GROUND;FLYING;ROCHE;4
208;STEELIX;STEEL;GROUND;ROCHE;4
209;SNUBBULL;FAIRY;NONE;NORMAL;3
210;GRANBULL;FAIRY;NONE;NORMAL;3
211;QWILFISH;WATER;POISON;EAU;1
212;SCIZOR;BUG;STEEL;ROCHE;4
213;SHUCKLE;BUG;ROCK;ROCHE;4
214;HERACROSS;BUG;FIGHTING;PLANTE;0
215;SNEASEL;DARK;ICE;GLACE;5
216;TEDDIURSA;NORMAL;NONE;NORMAL;3
217;URSARING;NORMAL;NONE;NORMAL;3
218;SLUGMA;FIRE;NONE;FEU;2
219;MAGCARGO;FIRE;ROCK;FEU;2
220;SWINUB;ICE;GROUND;GLACE;5
221;PILOSWINE;ICE;GROUND;GLACE;5
222;CORSOLA;WATER;ROCK;EAU;1
223;REMORAID;WATER;NONE;EAU;1
224;OCTILLERY;WATER;NONE;EAU;1
225;DELIBIRD;ICE;FLYING;GLACE;5
226;MANTINE;WATER;FLYING;EAU;1
227;SKARMORY;STEEL;FLYING;ROCHE;4
228;HOUNDOUR;DARK;FIRE;FEU;2
229;HOUNDOOM;DARK;FIRE;FEU;2
230;KINGDRA;WATER;DRAGON;EAU;1
231;PHANPY;GROUND;NONE;ROCHE;4
232;DONPHAN;GROUND;NONE;ROCHE;4
233;PORYGON2;NORMAL;NONE;NORMAL;3
234;STANTLER;NORMAL;NONE;NORMAL;3
235;SMEARGLE;NORMAL;NONE;NORMAL;3
236;TYROGUE;FIGHTING;NONE;NORMAL;3
237;HITMONTOP;FIGHTING;NONE;NORMAL;3
238;SMOOCHUM;ICE;PSYCHIC;GLACE;5
239;ELEKID;ELECTRIC;NONE;NORMAL;3
240;MAGBY;FIRE;NONE;FEU;2
241;MILTANK;NORMAL;NONE;NORMAL;3
242;BLISSEY;NORMAL;NONE;NORMAL;3
243;RAIKOU;ELECTRIC;NONE;NORMAL;3
244;ENTEI;FIRE;NONE;FEU;2
245;SUICUNE;WATER;NONE;EAU;1
246;LARVITAR;ROCK;GROUND;ROCHE;4
247;PUPITAR;ROCK;GROUND;ROCHE;4
248;TYRANITAR;ROCK;DARK;ROCHE;4
249;LUGIA;PSYCHIC;FLYING;NUAGES;6
250;HO-OH;FIRE;FLYING;FEU;2
251;CELEBI;PSYCHIC;GRASS;PLANTE;0
252;TREECKO;GRASS;NONE;PLANTE;0
253;GROVYLE;GRASS;NONE;PLANTE;0
254;SCEPTILE;GRASS;NONE;PLANTE;0
255;TORCHIC;FIRE;NONE;FEU;2
256;COMBUSKEN;FIRE;FIGHTING;FEU;2
257;BLAZIKEN;FIRE;FIGHTING;FEU;2
258;MUDKIP;WATER;NONE;EAU;1
259;MARSHTOMP;WATER;GROUND;EAU;1
260;SWAMPERT;WATER;GROUND;EAU;1
261;POOCHYENA;DARK;NONE;NORMAL;3
262;MIGHTYENA;DARK;NONE;NORMAL;3
263;ZIGZAGOON;NORMAL;NONE;NORMAL;3
264;LINOONE;NORMAL;NONE;NORMAL;3
265;WURMPLE;BUG;NONE;PLANTE;0
266;SILCOON;BUG;NONE;PLANTE;0
267;BEAUTIFLY;BUG;FLYING;PLANTE;0
268;CASCOON;BUG;NONE;PLANTE;0
269;DUSTOX;BUG;POISON;PLANTE;0
270;LOTAD;WATER;GRASS;EAU;1
271;LOMBRE;WATER;GRASS;EAU;1
272;LUDICOLO;WATER;GRASS;EAU;1
273;SEEDOT;GRASS;NONE;PLANTE;0
274;NUZLEAF;GRASS;DARK;PLANTE;0
275;SHIFTRY;GRASS;DARK;PLANTE;0
276;TAILLOW;NORMAL;FLYING;NUAGES;6
277;SWELLOW;NORMAL;FLYING;NUAGES;6
278;WINGULL;WATER;FLYING;EAU;1
279;PELIPPER;WATER;FLYING;EAU;1
280;RALTS;PSYCHIC;FAIRY;NORMAL;3
281;KIRLIA;PSYCHIC;FAIRY;NORMAL;3
282;GARDEVOIR;PSYCHIC;FAIRY;NORMAL;3
283;SURSKIT;BUG;WATER;EAU;1
284;MASQUERAIN;BUG;FLYING;PLANTE;0
285;SHROOMISH;GRASS;NONE;PLANTE;0
286;BRELOOM;GRASS;FIGHTING;PLANTE;0
287;SLAKOTH;NORMAL;NONE;NORMAL;3
288;VIGOROTH;NORMAL;NONE;NORMAL;3
289;SLAKING;NORMAL;NONE;NORMAL;3
290;NINCADA;BUG;GROUND;ROCHE;4
291;NINJASK;BUG;FLYING;PLANTE;0
292;SHEDINJA;BUG;GHOST;PLANTE;0
293;WHISMUR;NORMAL;NONE;NORMAL;3
294;LOUDRED;NORMAL;NONE;NORMAL;3
295;EXPLOUD;NORMAL;NONE;NORMAL;3
296;MAKUHITA;FIGHTING;NONE;NORMAL;3
297;HARIYAMA;FIGHTING;NONE;NORMAL;3
298;AZURILL;NORMAL;FAIRY;NORMAL;3
299;NOSEPASS;ROCK;NONE;ROCHE;4
300;SKITTY;NORMAL;NONE;NORMAL;3
301;DELCATTY;NORMAL;NONE;NORMAL;3
302;SABLEYE;DARK;GHOST;NORMAL;3
303;MAWILE;STEEL;FAIRY;ROCHE;4
304;ARON;STEEL;ROCK;ROCHE;4
305;LAIRON;STEEL;ROCK;ROCHE;4
306;AGGRON;STEEL;ROCK;ROCHE;4
307;MEDITITE;FIGHTING;PSYCHIC;NORMAL;3
308;MEDICHAM;FIGHTING;PSYCHIC;NORMAL;3
309;ELECTRIKE;ELECTRIC;NONE;NORMAL;3
310;MANECTRIC;ELECTRIC;NONE;NORMAL;3
311;PLUSLE;ELECTRIC;NONE;NORMAL;3
312;MINUN;ELECTRIC;NONE;NORMAL;3
313;VOLBEAT;BUG;NONE;PLANTE;0
314;ILLUMISE;BUG;NONE;PLANTE;0
315;ROSELIA;GRASS;POISON;PLANTE;0
316;GULPIN;POISON;NONE;NORMAL;3
317;SWALOT;POISON;NONE;NORMAL;3
318;CARVANHA;WATER;DARK;EAU;1
319;SHARPEDO;WATER;DARK;EAU;1
320;WAILMER;WATER;NONE;EAU;1
321;WAILORD;WATER;NONE;EAU;1
322;NUMEL;FIRE;GROUND;FEU;2
323;CAMERUPT;FIRE;GROUND;FEU;2
324;TORKOAL;FIRE;NONE;FEU;2
325;SPOINK;PSYCHIC;NONE;NORMAL;3
326;GRUMPIG;PSYCHIC;NONE;NORMAL;3
327;SPINDA;NORMAL;NONE;NORMAL;3
328;TRAPINCH;GROUND;NONE;ROCHE;4
329;VIBRAVA;GROUND;DRAGON;ROCHE;4
330;FLYGON;GROUND;DRAGON;ROCHE;4
331;CACNEA;GRASS;NONE;PLANTE;0
332;CACTURNE;GRASS;DARK;PLANTE;0
333;SWABLU;NORMAL;FLYING;NUAGES;6
334;ALTARIA;DRAGON;FLYING;NUAGES;6
335;ZANGOOSE;NORMAL;NONE;NORMAL;3
336;SEVIPER;POISON;NONE;NORMAL;3
337;LUNATONE;ROCK;PSYCHIC;ROCHE;4
338;SOLROCK;ROCK;PSYCHIC;ROCHE;4
339;BARBOACH;WATER;GROUND;EAU;1
340;WHISCASH;WATER;GROUND;EAU;1
341;CORPHISH;WATER;NONE;EAU;1
342;CRAWDAUNT;WATER;DARK;EAU;1
343;BALTOY;GROUND;PSYCHIC;ROCHE;4
344;CLAYDOL;GROUND;PSYCHIC;ROCHE;4
345;LILEEP;ROCK;GRASS;ROCHE;4
346;CRADILY;ROCK;GRASS;ROCHE;4
347;ANORITH;ROCK;BUG;ROCHE;4
348;ARMALDO;ROCK;BUG;ROCHE;4
349;FEEBAS;WATER;NONE;EAU;1
350;MILOTIC;WATER;NONE;EAU;1
351;CASTFORM;NORMAL;NONE;NORMAL;3
352;KECLEON;NORMAL;NONE;NORMAL;3
353;SHUPPET;GHOST;NONE;NORMAL;3
354;BANETTE;GHOST;NONE;NORMAL;3
355;DUSKULL;GHOST;NONE;NORMAL;3
356;DUSCLOPS;GHOST;NONE;NORMAL;3
357;TROPIUS;GRASS;FLYING;PLANTE;0
358;CHIMECHO;PSYCHIC;NONE;NORMAL;3
359;ABSOL;DARK;NONE;NORMAL;3
360;WYNAUT;PSYCHIC;NONE;NORMAL;3
361;SNORUNT;ICE;NONE;GLACE;5
362;GLALIE;ICE;NONE;GLACE;5
363;SPHEAL;ICE;WATER;GLACE;5
364;SEALEO;ICE;WATER;GLACE;5
365;WALREIN;ICE;WATER;GLACE;5
366;CLAMPERL;WATER;NONE;EAU;1
367;HUNTAIL;WATER;NONE;EAU;1
368;GOREBYSS;WATER;NONE;EAU;1
369;RELICANTH;WATER;ROCK;EAU;1
370;LUVDISC;WATER;NONE;EAU;1
371;BAGON;DRAGON;NONE;NORMAL;3
372;SHELGON;DRAGON;NONE;NORMAL;3
373;SALAMENCE;DRAGON;FLYING;NUAGES;6
374;BELDUM;STEEL;PSYCHIC;ROCHE;4
375;METANG;STEEL;PSYCHIC;ROCHE;4
376;METAGROSS;STEEL;PSYCHIC;ROCHE;4
377;REGIROCK;ROCK;NONE;ROCHE;4
378;REGICE;ICE;NONE;GLACE;5
379;REGISTEEL;STEEL;NONE;ROCHE;4
380;LATIAS;DRAGON;PSYCHIC;NORMAL;3
381;LATIOS;DRAGON;PSYCHIC;NORMAL;3
382;KYOGRE;WATER;NONE;EAU;1
383;GROUDON;GROUND;NONE;ROCHE;4
384;RAYQUAZA;DRAGON;FLYING;NUAGES;6
385;JIRACHI;STEEL;PSYCHIC;ROCHE;4
386;DEOXYS;PSYCHIC;NONE;NORMAL;3
