dex;source_largeur;source_hauteur;adversaire_largeur;adversaire_hauteur;joueur_largeur;joueur_hauteur
351;11;17;49;77;61;95
352;22;23;73;77;90;95
353;18;17;77;72;95;89
354;20;22;70;77;86;95
355;25;22;77;67;95;83
356;32;30;77;72;95;89
357;31;26;77;64;95;79
358;13;19;52;77;65;95
359;19;30;48;77;60;95
360;21;19;77;69;95;85
361;19;22;66;77;82;95
362;28;26;77;71;95;88
363;18;16;77;68;95;84
364;24;19;77;60;95;75
365;27;23;77;65;95;80
366;19;23;63;77;78;95
367;17;32;40;77;50;95
368;13;25;40;77;49;95
369;23;26;68;77;84;95
370;10;20;38;77;47;95
371;17;23;56;77;70;95
372;23;24;73;77;91;95
373;52;31;77;45;95;56
374;15;21;55;77;67;95
375;31;24;77;59;95;73
376;35;26;77;57;95;70
377;32;28;77;67;95;83
378;31;27;77;67;95;82
379;31;26;77;64;95;79
380;42;28;77;51;95;63
381;51;31;77;46;95;57
382;63;36;77;44;95;54
383;40;40;77;77;95;95
384;62;63;75;77;93;95
385;22;22;77;77;95;95
386;31;32;74;77;92;95
