Dex;Nom_interne;Type1;Type2;Biome_ID;Habitat
63;ABRA;TYPE_PSYCHIC;TYPE_NONE;0;prairie
64;KADABRA;TYPE_PSYCHIC;TYPE_NONE;0;prairie
65;ALAKAZAM;TYPE_PSYCHIC;TYPE_NONE;0;prairie
66;MACHOP;TYPE_FIGHTING;TYPE_NONE;0;prairie
67;MACHOKE;TYPE_FIGHTING;TYPE_NONE;0;prairie
68;MACHAMP;TYPE_FIGHTING;TYPE_NONE;0;prairie
69;BELLSPROUT;TYPE_GRASS;TYPE_POISON;2;foret
70;WEEPINBELL;TYPE_GRASS;TYPE_POISON;2;foret
71;VICTREEBEL;TYPE_GRASS;TYPE_POISON;2;foret
72;TENTACOOL;TYPE_WATER;TYPE_POISON;1;eau_plage
73;TENTACRUEL;TYPE_WATER;TYPE_POISON;1;eau_plage
74;GEODUDE;TYPE_ROCK;TYPE_GROUND;4;montagne
75;GRAVELER;TYPE_ROCK;TYPE_GROUND;4;montagne
76;GOLEM;TYPE_ROCK;TYPE_GROUND;4;montagne
77;PONYTA;TYPE_FIRE;TYPE_NONE;3;volcan
78;RAPIDASH;TYPE_FIRE;TYPE_NONE;3;volcan
79;SLOWPOKE;TYPE_WATER;TYPE_PSYCHIC;1;eau_plage
80;SLOWBRO;TYPE_WATER;TYPE_PSYCHIC;1;eau_plage
81;MAGNEMITE;TYPE_ELECTRIC;TYPE_STEEL;0;prairie
82;MAGNETON;TYPE_ELECTRIC;TYPE_STEEL;0;prairie
83;FARFETCHD;TYPE_NORMAL;TYPE_FLYING;0;prairie
84;DODUO;TYPE_NORMAL;TYPE_FLYING;0;prairie
85;DODRIO;TYPE_NORMAL;TYPE_FLYING;0;prairie
86;SEEL;TYPE_WATER;TYPE_NONE;1;eau_plage
87;DEWGONG;TYPE_WATER;TYPE_ICE;1;eau_plage
88;GRIMER;TYPE_POISON;TYPE_NONE;0;prairie
89;MUK;TYPE_POISON;TYPE_NONE;0;prairie
90;SHELLDER;TYPE_WATER;TYPE_NONE;1;eau_plage
91;CLOYSTER;TYPE_WATER;TYPE_ICE;1;eau_plage
92;GASTLY;TYPE_GHOST;TYPE_POISON;0;prairie
93;HAUNTER;TYPE_GHOST;TYPE_POISON;0;prairie
94;GENGAR;TYPE_GHOST;TYPE_POISON;0;prairie
95;ONIX;TYPE_ROCK;TYPE_GROUND;4;montagne
96;DROWZEE;TYPE_PSYCHIC;TYPE_NONE;0;prairie
97;HYPNO;TYPE_PSYCHIC;TYPE_NONE;0;prairie
98;KRABBY;TYPE_WATER;TYPE_NONE;1;eau_plage
99;KINGLER;TYPE_WATER;TYPE_NONE;1;eau_plage
100;VOLTORB;TYPE_ELECTRIC;TYPE_NONE;0;prairie
101;ELECTRODE;TYPE_ELECTRIC;TYPE_NONE;0;prairie
102;EXEGGCUTE;TYPE_GRASS;TYPE_PSYCHIC;2;foret
103;EXEGGUTOR;TYPE_GRASS;TYPE_PSYCHIC;2;foret
104;CUBONE;TYPE_GROUND;TYPE_NONE;4;montagne
105;MAROWAK;TYPE_GROUND;TYPE_NONE;4;montagne
106;HITMONLEE;TYPE_FIGHTING;TYPE_NONE;0;prairie
107;HITMONCHAN;TYPE_FIGHTING;TYPE_NONE;0;prairie
108;LICKITUNG;TYPE_NORMAL;TYPE_NONE;0;prairie
109;KOFFING;TYPE_POISON;TYPE_NONE;0;prairie
110;WEEZING;TYPE_POISON;TYPE_NONE;0;prairie
111;RHYHORN;TYPE_GROUND;TYPE_ROCK;4;montagne
112;RHYDON;TYPE_GROUND;TYPE_ROCK;4;montagne
113;CHANSEY;TYPE_NORMAL;TYPE_NONE;0;prairie
114;TANGELA;TYPE_GRASS;TYPE_NONE;2;foret
115;KANGASKHAN;TYPE_NORMAL;TYPE_NONE;0;prairie
116;HORSEA;TYPE_WATER;TYPE_NONE;1;eau_plage
117;SEADRA;TYPE_WATER;TYPE_NONE;1;eau_plage
118;GOLDEEN;TYPE_WATER;TYPE_NONE;1;eau_plage
119;SEAKING;TYPE_WATER;TYPE_NONE;1;eau_plage
120;STARYU;TYPE_WATER;TYPE_NONE;1;eau_plage
121;STARMIE;TYPE_WATER;TYPE_PSYCHIC;1;eau_plage
122;MR. MIME;TYPE_PSYCHIC;TYPE_FAIRY;0;prairie
123;SCYTHER;TYPE_BUG;TYPE_FLYING;2;foret
124;JYNX;TYPE_ICE;TYPE_PSYCHIC;5;neige
125;ELECTABUZZ;TYPE_ELECTRIC;TYPE_NONE;0;prairie
126;MAGMAR;TYPE_FIRE;TYPE_NONE;3;volcan
127;PINSIR;TYPE_BUG;TYPE_NONE;2;foret
128;TAUROS;TYPE_NORMAL;TYPE_NONE;0;prairie
129;MAGIKARP;TYPE_WATER;TYPE_NONE;1;eau_plage
130;GYARADOS;TYPE_WATER;TYPE_FLYING;1;eau_plage
131;LAPRAS;TYPE_WATER;TYPE_ICE;1;eau_plage
132;DITTO;TYPE_NORMAL;TYPE_NONE;0;prairie
133;EEVEE;TYPE_NORMAL;TYPE_NONE;0;prairie
134;VAPOREON;TYPE_WATER;TYPE_NONE;1;eau_plage
135;JOLTEON;TYPE_ELECTRIC;TYPE_NONE;0;prairie
136;FLAREON;TYPE_FIRE;TYPE_NONE;3;volcan
137;PORYGON;TYPE_NORMAL;TYPE_NONE;0;prairie
138;OMANYTE;TYPE_ROCK;TYPE_WATER;1;eau_plage
139;OMASTAR;TYPE_ROCK;TYPE_WATER;1;eau_plage
140;KABUTO;TYPE_ROCK;TYPE_WATER;1;eau_plage
141;KABUTOPS;TYPE_ROCK;TYPE_WATER;1;eau_plage
142;AERODACTYL;TYPE_ROCK;TYPE_FLYING;4;montagne
143;SNORLAX;TYPE_NORMAL;TYPE_NONE;0;prairie
144;ARTICUNO;TYPE_ICE;TYPE_FLYING;5;neige
145;ZAPDOS;TYPE_ELECTRIC;TYPE_FLYING;0;prairie
146;MOLTRES;TYPE_FIRE;TYPE_FLYING;3;volcan
147;DRATINI;TYPE_DRAGON;TYPE_NONE;1;eau_plage
148;DRAGONAIR;TYPE_DRAGON;TYPE_NONE;1;eau_plage
149;DRAGONITE;TYPE_DRAGON;TYPE_FLYING;1;eau_plage
150;MEWTWO;TYPE_PSYCHIC;TYPE_NONE;0;prairie
151;MEW;TYPE_PSYCHIC;TYPE_NONE;0;prairie
152;CHIKORITA;TYPE_GRASS;TYPE_NONE;2;foret
153;BAYLEEF;TYPE_GRASS;TYPE_NONE;2;foret
154;MEGANIUM;TYPE_GRASS;TYPE_NONE;2;foret
155;CYNDAQUIL;TYPE_FIRE;TYPE_NONE;3;volcan
156;QUILAVA;TYPE_FIRE;TYPE_NONE;3;volcan
157;TYPHLOSION;TYPE_FIRE;TYPE_NONE;3;volcan
158;TOTODILE;TYPE_WATER;TYPE_NONE;1;eau_plage
159;CROCONAW;TYPE_WATER;TYPE_NONE;1;eau_plage
160;FERALIGATR;TYPE_WATER;TYPE_NONE;1;eau_plage
161;SENTRET;TYPE_NORMAL;TYPE_NONE;0;prairie
162;FURRET;TYPE_NORMAL;TYPE_NONE;0;prairie
163;HOOTHOOT;TYPE_NORMAL;TYPE_FLYING;0;prairie
164;NOCTOWL;TYPE_NORMAL;TYPE_FLYING;0;prairie
165;LEDYBA;TYPE_BUG;TYPE_FLYING;2;foret
166;LEDIAN;TYPE_BUG;TYPE_FLYING;2;foret
167;SPINARAK;TYPE_BUG;TYPE_POISON;2;foret
168;ARIADOS;TYPE_BUG;TYPE_POISON;2;foret
169;CROBAT;TYPE_POISON;TYPE_FLYING;0;prairie
170;CHINCHOU;TYPE_WATER;TYPE_ELECTRIC;1;eau_plage
171;LANTURN;TYPE_WATER;TYPE_ELECTRIC;1;eau_plage
172;PICHU;TYPE_ELECTRIC;TYPE_NONE;0;prairie
173;CLEFFA;TYPE_FAIRY;TYPE_NONE;0;prairie
174;IGGLYBUFF;TYPE_NORMAL;TYPE_FAIRY;0;prairie
175;TOGEPI;TYPE_FAIRY;TYPE_NONE;0;prairie
176;TOGETIC;TYPE_FAIRY;TYPE_FLYING;0;prairie
177;NATU;TYPE_PSYCHIC;TYPE_FLYING;0;prairie
178;XATU;TYPE_PSYCHIC;TYPE_FLYING;0;prairie
179;MAREEP;TYPE_ELECTRIC;TYPE_NONE;0;prairie
180;FLAAFFY;TYPE_ELECTRIC;TYPE_NONE;0;prairie
181;AMPHAROS;TYPE_ELECTRIC;TYPE_NONE;0;prairie
182;BELLOSSOM;TYPE_GRASS;TYPE_NONE;2;foret
183;MARILL;TYPE_WATER;TYPE_FAIRY;1;eau_plage
184;AZUMARILL;TYPE_WATER;TYPE_FAIRY;1;eau_plage
185;SUDOWOODO;TYPE_ROCK;TYPE_NONE;4;montagne
186;POLITOED;TYPE_WATER;TYPE_NONE;1;eau_plage
187;HOPPIP;TYPE_GRASS;TYPE_FLYING;2;foret
188;SKIPLOOM;TYPE_GRASS;TYPE_FLYING;2;foret
189;JUMPLUFF;TYPE_GRASS;TYPE_FLYING;2;foret
190;AIPOM;TYPE_NORMAL;TYPE_NONE;0;prairie
191;SUNKERN;TYPE_GRASS;TYPE_NONE;2;foret
192;SUNFLORA;TYPE_GRASS;TYPE_NONE;2;foret
193;YANMA;TYPE_BUG;TYPE_FLYING;2;foret
194;WOOPER;TYPE_WATER;TYPE_GROUND;1;eau_plage
195;QUAGSIRE;TYPE_WATER;TYPE_GROUND;1;eau_plage
196;ESPEON;TYPE_PSYCHIC;TYPE_NONE;0;prairie
197;UMBREON;TYPE_DARK;TYPE_NONE;0;prairie
198;MURKROW;TYPE_DARK;TYPE_FLYING;0;prairie
199;SLOWKING;TYPE_WATER;TYPE_PSYCHIC;1;eau_plage
200;MISDREAVUS;TYPE_GHOST;TYPE_NONE;0;prairie
201;UNOWN;TYPE_PSYCHIC;TYPE_NONE;0;prairie
202;WOBBUFFET;TYPE_PSYCHIC;TYPE_NONE;0;prairie
203;GIRAFARIG;TYPE_NORMAL;TYPE_PSYCHIC;0;prairie
204;PINECO;TYPE_BUG;TYPE_NONE;2;foret
205;FORRETRESS;TYPE_BUG;TYPE_STEEL;2;foret
206;DUNSPARCE;TYPE_NORMAL;TYPE_NONE;0;prairie
207;GLIGAR;TYPE_GROUND;TYPE_FLYING;4;montagne
208;STEELIX;TYPE_STEEL;TYPE_GROUND;0;prairie
209;SNUBBULL;TYPE_FAIRY;TYPE_NONE;0;prairie
210;GRANBULL;TYPE_FAIRY;TYPE_NONE;0;prairie
211;QWILFISH;TYPE_WATER;TYPE_POISON;1;eau_plage
212;SCIZOR;TYPE_BUG;TYPE_STEEL;2;foret
213;SHUCKLE;TYPE_BUG;TYPE_ROCK;2;foret
214;HERACROSS;TYPE_BUG;TYPE_FIGHTING;2;foret
215;SNEASEL;TYPE_DARK;TYPE_ICE;0;prairie
216;TEDDIURSA;TYPE_NORMAL;TYPE_NONE;0;prairie
217;URSARING;TYPE_NORMAL;TYPE_NONE;0;prairie
218;SLUGMA;TYPE_FIRE;TYPE_NONE;3;volcan
219;MAGCARGO;TYPE_FIRE;TYPE_ROCK;3;volcan
220;SWINUB;TYPE_ICE;TYPE_GROUND;5;neige
221;PILOSWINE;TYPE_ICE;TYPE_GROUND;5;neige
222;CORSOLA;TYPE_WATER;TYPE_ROCK;1;eau_plage
223;REMORAID;TYPE_WATER;TYPE_NONE;1;eau_plage
224;OCTILLERY;TYPE_WATER;TYPE_NONE;1;eau_plage
225;DELIBIRD;TYPE_ICE;TYPE_FLYING;5;neige
226;MANTINE;TYPE_WATER;TYPE_FLYING;1;eau_plage
227;SKARMORY;TYPE_STEEL;TYPE_FLYING;0;prairie
228;HOUNDOUR;TYPE_DARK;TYPE_FIRE;0;prairie
229;HOUNDOOM;TYPE_DARK;TYPE_FIRE;0;prairie
230;KINGDRA;TYPE_WATER;TYPE_DRAGON;1;eau_plage
231;PHANPY;TYPE_GROUND;TYPE_NONE;4;montagne
232;DONPHAN;TYPE_GROUND;TYPE_NONE;4;montagne
233;PORYGON2;TYPE_NORMAL;TYPE_NONE;0;prairie
234;STANTLER;TYPE_NORMAL;TYPE_NONE;0;prairie
235;SMEARGLE;TYPE_NORMAL;TYPE_NONE;0;prairie
236;TYROGUE;TYPE_FIGHTING;TYPE_NONE;0;prairie
237;HITMONTOP;TYPE_FIGHTING;TYPE_NONE;0;prairie
238;SMOOCHUM;TYPE_ICE;TYPE_PSYCHIC;5;neige
239;ELEKID;TYPE_ELECTRIC;TYPE_NONE;0;prairie
240;MAGBY;TYPE_FIRE;TYPE_NONE;3;volcan
241;MILTANK;TYPE_NORMAL;TYPE_NONE;0;prairie
242;BLISSEY;TYPE_NORMAL;TYPE_NONE;0;prairie
243;RAIKOU;TYPE_ELECTRIC;TYPE_NONE;0;prairie
244;ENTEI;TYPE_FIRE;TYPE_NONE;3;volcan
245;SUICUNE;TYPE_WATER;TYPE_NONE;1;eau_plage
246;LARVITAR;TYPE_ROCK;TYPE_GROUND;4;montagne
247;PUPITAR;TYPE_ROCK;TYPE_GROUND;4;montagne
248;TYRANITAR;TYPE_ROCK;TYPE_DARK;4;montagne
249;LUGIA;TYPE_PSYCHIC;TYPE_FLYING;0;prairie
250;HO-OH;TYPE_FIRE;TYPE_FLYING;3;volcan
251;CELEBI;TYPE_PSYCHIC;TYPE_GRASS;0;prairie
252;TREECKO;TYPE_GRASS;TYPE_NONE;2;foret
253;GROVYLE;TYPE_GRASS;TYPE_NONE;2;foret
254;SCEPTILE;TYPE_GRASS;TYPE_NONE;2;foret
255;TORCHIC;TYPE_FIRE;TYPE_NONE;3;volcan
256;COMBUSKEN;TYPE_FIRE;TYPE_FIGHTING;3;volcan
257;BLAZIKEN;TYPE_FIRE;TYPE_FIGHTING;3;volcan
258;MUDKIP;TYPE_WATER;TYPE_NONE;1;eau_plage
259;MARSHTOMP;TYPE_WATER;TYPE_GROUND;1;eau_plage
260;SWAMPERT;TYPE_WATER;TYPE_GROUND;1;eau_plage
261;POOCHYENA;TYPE_DARK;TYPE_NONE;0;prairie
262;MIGHTYENA;TYPE_DARK;TYPE_NONE;0;prairie
263;ZIGZAGOON;TYPE_NORMAL;TYPE_NONE;0;prairie
264;LINOONE;TYPE_NORMAL;TYPE_NONE;0;prairie
265;WURMPLE;TYPE_BUG;TYPE_NONE;2;foret
266;SILCOON;TYPE_BUG;TYPE_NONE;2;foret
267;BEAUTIFLY;TYPE_BUG;TYPE_FLYING;2;foret
268;CASCOON;TYPE_BUG;TYPE_NONE;2;foret
269;DUSTOX;TYPE_BUG;TYPE_POISON;2;foret
270;LOTAD;TYPE_WATER;TYPE_GRASS;1;eau_plage
271;LOMBRE;TYPE_WATER;TYPE_GRASS;1;eau_plage
272;LUDICOLO;TYPE_WATER;TYPE_GRASS;1;eau_plage
273;SEEDOT;TYPE_GRASS;TYPE_NONE;2;foret
274;NUZLEAF;TYPE_GRASS;TYPE_DARK;2;foret
275;SHIFTRY;TYPE_GRASS;TYPE_DARK;2;foret
276;TAILLOW;TYPE_NORMAL;TYPE_FLYING;0;prairie
277;SWELLOW;TYPE_NORMAL;TYPE_FLYING;0;prairie
278;WINGULL;TYPE_WATER;TYPE_FLYING;1;eau_plage
279;PELIPPER;TYPE_WATER;TYPE_FLYING;1;eau_plage
280;RALTS;TYPE_PSYCHIC;TYPE_FAIRY;0;prairie
281;KIRLIA;TYPE_PSYCHIC;TYPE_FAIRY;0;prairie
282;GARDEVOIR;TYPE_PSYCHIC;TYPE_FAIRY;0;prairie
283;SURSKIT;TYPE_BUG;TYPE_WATER;2;foret
284;MASQUERAIN;TYPE_BUG;TYPE_FLYING;2;foret
285;SHROOMISH;TYPE_GRASS;TYPE_NONE;2;foret
286;BRELOOM;TYPE_GRASS;TYPE_FIGHTING;2;foret
287;SLAKOTH;TYPE_NORMAL;TYPE_NONE;0;prairie
288;VIGOROTH;TYPE_NORMAL;TYPE_NONE;0;prairie
289;SLAKING;TYPE_NORMAL;TYPE_NONE;0;prairie
290;NINCADA;TYPE_BUG;TYPE_GROUND;2;foret
291;NINJASK;TYPE_BUG;TYPE_FLYING;2;foret
292;SHEDINJA;TYPE_BUG;TYPE_GHOST;2;foret
293;WHISMUR;TYPE_NORMAL;TYPE_NONE;0;prairie
294;LOUDRED;TYPE_NORMAL;TYPE_NONE;0;prairie
295;EXPLOUD;TYPE_NORMAL;TYPE_NONE;0;prairie
296;MAKUHITA;TYPE_FIGHTING;TYPE_NONE;0;prairie
297;HARIYAMA;TYPE_FIGHTING;TYPE_NONE;0;prairie
298;AZURILL;TYPE_NORMAL;TYPE_FAIRY;0;prairie
299;NOSEPASS;TYPE_ROCK;TYPE_NONE;4;montagne
300;SKITTY;TYPE_NORMAL;TYPE_NONE;0;prairie
301;DELCATTY;TYPE_NORMAL;TYPE_NONE;0;prairie
302;SABLEYE;TYPE_DARK;TYPE_GHOST;0;prairie
303;MAWILE;TYPE_STEEL;TYPE_FAIRY;0;prairie
304;ARON;TYPE_STEEL;TYPE_ROCK;0;prairie
305;LAIRON;TYPE_STEEL;TYPE_ROCK;0;prairie
306;AGGRON;TYPE_STEEL;TYPE_ROCK;0;prairie
307;MEDITITE;TYPE_FIGHTING;TYPE_PSYCHIC;0;prairie
308;MEDICHAM;TYPE_FIGHTING;TYPE_PSYCHIC;0;prairie
309;ELECTRIKE;TYPE_ELECTRIC;TYPE_NONE;0;prairie
310;MANECTRIC;TYPE_ELECTRIC;TYPE_NONE;0;prairie
311;PLUSLE;TYPE_ELECTRIC;TYPE_NONE;0;prairie
312;MINUN;TYPE_ELECTRIC;TYPE_NONE;0;prairie
313;VOLBEAT;TYPE_BUG;TYPE_NONE;2;foret
314;ILLUMISE;TYPE_BUG;TYPE_NONE;2;foret
315;ROSELIA;TYPE_GRASS;TYPE_POISON;2;foret
316;GULPIN;TYPE_POISON;TYPE_NONE;0;prairie
317;SWALOT;TYPE_POISON;TYPE_NONE;0;prairie
318;CARVANHA;TYPE_WATER;TYPE_DARK;1;eau_plage
319;SHARPEDO;TYPE_WATER;TYPE_DARK;1;eau_plage
320;WAILMER;TYPE_WATER;TYPE_NONE;1;eau_plage
321;WAILORD;TYPE_WATER;TYPE_NONE;1;eau_plage
322;NUMEL;TYPE_FIRE;TYPE_GROUND;3;volcan
323;CAMERUPT;TYPE_FIRE;TYPE_GROUND;3;volcan
324;TORKOAL;TYPE_FIRE;TYPE_NONE;3;volcan
325;SPOINK;TYPE_PSYCHIC;TYPE_NONE;0;prairie
326;GRUMPIG;TYPE_PSYCHIC;TYPE_NONE;0;prairie
327;SPINDA;TYPE_NORMAL;TYPE_NONE;0;prairie
328;TRAPINCH;TYPE_GROUND;TYPE_NONE;4;montagne
329;VIBRAVA;TYPE_GROUND;TYPE_DRAGON;4;montagne
330;FLYGON;TYPE_GROUND;TYPE_DRAGON;4;montagne
331;CACNEA;TYPE_GRASS;TYPE_NONE;2;foret
332;CACTURNE;TYPE_GRASS;TYPE_DARK;2;foret
333;SWABLU;TYPE_NORMAL;TYPE_FLYING;0;prairie
334;ALTARIA;TYPE_DRAGON;TYPE_FLYING;0;prairie
335;ZANGOOSE;TYPE_NORMAL;TYPE_NONE;0;prairie
336;SEVIPER;TYPE_POISON;TYPE_NONE;0;prairie
337;LUNATONE;TYPE_ROCK;TYPE_PSYCHIC;4;montagne
338;SOLROCK;TYPE_ROCK;TYPE_PSYCHIC;4;montagne
339;BARBOACH;TYPE_WATER;TYPE_GROUND;1;eau_plage
340;WHISCASH;TYPE_WATER;TYPE_GROUND;1;eau_plage
341;CORPHISH;TYPE_WATER;TYPE_NONE;1;eau_plage
342;CRAWDAUNT;TYPE_WATER;TYPE_DARK;1;eau_plage
343;BALTOY;TYPE_GROUND;TYPE_PSYCHIC;4;montagne
344;CLAYDOL;TYPE_GROUND;TYPE_PSYCHIC;4;montagne
345;LILEEP;TYPE_ROCK;TYPE_GRASS;4;montagne
346;CRADILY;TYPE_ROCK;TYPE_GRASS;4;montagne
347;ANORITH;TYPE_ROCK;TYPE_BUG;4;montagne
348;ARMALDO;TYPE_ROCK;TYPE_BUG;4;montagne
349;FEEBAS;TYPE_WATER;TYPE_NONE;1;eau_plage
350;MILOTIC;TYPE_WATER;TYPE_NONE;1;eau_plage
351;CASTFORM;TYPE_NORMAL;TYPE_NONE;0;prairie
352;KECLEON;TYPE_NORMAL;TYPE_NONE;0;prairie
353;SHUPPET;TYPE_GHOST;TYPE_NONE;0;prairie
354;BANETTE;TYPE_GHOST;TYPE_NONE;0;prairie
355;DUSKULL;TYPE_GHOST;TYPE_NONE;0;prairie
356;DUSCLOPS;TYPE_GHOST;TYPE_NONE;0;prairie
357;TROPIUS;TYPE_GRASS;TYPE_FLYING;2;foret
358;CHIMECHO;TYPE_PSYCHIC;TYPE_NONE;0;prairie
359;ABSOL;TYPE_DARK;TYPE_NONE;0;prairie
360;WYNAUT;TYPE_PSYCHIC;TYPE_NONE;0;prairie
361;SNORUNT;TYPE_ICE;TYPE_NONE;5;neige
362;GLALIE;TYPE_ICE;TYPE_NONE;5;neige
363;SPHEAL;TYPE_ICE;TYPE_WATER;5;neige
364;SEALEO;TYPE_ICE;TYPE_WATER;5;neige
365;WALREIN;TYPE_ICE;TYPE_WATER;5;neige
366;CLAMPERL;TYPE_WATER;TYPE_NONE;1;eau_plage
367;HUNTAIL;TYPE_WATER;TYPE_NONE;1;eau_plage
368;GOREBYSS;TYPE_WATER;TYPE_NONE;1;eau_plage
369;RELICANTH;TYPE_WATER;TYPE_ROCK;1;eau_plage
370;LUVDISC;TYPE_WATER;TYPE_NONE;1;eau_plage
371;BAGON;TYPE_DRAGON;TYPE_NONE;0;prairie
372;SHELGON;TYPE_DRAGON;TYPE_NONE;0;prairie
373;SALAMENCE;TYPE_DRAGON;TYPE_FLYING;0;prairie
374;BELDUM;TYPE_STEEL;TYPE_PSYCHIC;0;prairie
375;METANG;TYPE_STEEL;TYPE_PSYCHIC;0;prairie
376;METAGROSS;TYPE_STEEL;TYPE_PSYCHIC;0;prairie
377;REGIROCK;TYPE_ROCK;TYPE_NONE;4;montagne
378;REGICE;TYPE_ICE;TYPE_NONE;5;neige
379;REGISTEEL;TYPE_STEEL;TYPE_NONE;0;prairie
380;LATIAS;TYPE_DRAGON;TYPE_PSYCHIC;0;prairie
381;LATIOS;TYPE_DRAGON;TYPE_PSYCHIC;0;prairie
382;KYOGRE;TYPE_WATER;TYPE_NONE;1;eau_plage
383;GROUDON;TYPE_GROUND;TYPE_NONE;4;montagne
384;RAYQUAZA;TYPE_DRAGON;TYPE_FLYING;0;prairie
385;JIRACHI;TYPE_STEEL;TYPE_PSYCHIC;0;prairie
386;DEOXYS;TYPE_PSYCHIC;TYPE_NONE;0;prairie
